

Windows-1252;;kunta_1_20220101#hyvinvointialue_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'239'";"Keitele";"'13'";"Pohjois-Savon hyvinvointialue"
"'240'";"Kemi";"'21'";"Lapin hyvinvointialue"
"'320'";"Kemijärvi";"'21'";"Lapin hyvinvointialue"
"'241'";"Keminmaa";"'21'";"Lapin hyvinvointialue"
"'322'";"Kemiönsaari";"'05'";"Varsinais-Suomen hyvinvointialue"
"'244'";"Kempele";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'245'";"Kerava";"'04'";"Vantaan ja Keravan hyvinvointialue"
"'249'";"Keuruu";"'15'";"Keski-Suomen hyvinvointialue"
"'250'";"Kihniö";"'08'";"Pirkanmaan hyvinvointialue"
"'256'";"Kinnula";"'15'";"Keski-Suomen hyvinvointialue"
"'257'";"Kirkkonummi";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'260'";"Kitee";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'261'";"Kittilä";"'21'";"Lapin hyvinvointialue"
"'263'";"Kiuruvesi";"'13'";"Pohjois-Savon hyvinvointialue"
"'265'";"Kivijärvi";"'15'";"Keski-Suomen hyvinvointialue"
"'271'";"Kokemäki";"'06'";"Satakunnan hyvinvointialue"
"'272'";"Kokkola";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'273'";"Kolari";"'21'";"Lapin hyvinvointialue"
"'275'";"Konnevesi";"'15'";"Keski-Suomen hyvinvointialue"
"'276'";"Kontiolahti";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'280'";"Korsnäs";"'17'";"Pohjanmaan hyvinvointialue"
"'284'";"Koski Tl";"'05'";"Varsinais-Suomen hyvinvointialue"
"'285'";"Kotka";"'10'";"Kymenlaakson hyvinvointialue"
"'286'";"Kouvola";"'10'";"Kymenlaakson hyvinvointialue"
"'287'";"Kristiinankaupunki";"'17'";"Pohjanmaan hyvinvointialue"
"'288'";"Kruunupyy";"'17'";"Pohjanmaan hyvinvointialue"
"'290'";"Kuhmo";"'20'";"Kainuun hyvinvointialue"
"'291'";"Kuhmoinen";"'08'";"Pirkanmaan hyvinvointialue"
"'295'";"Kumlinge";"'91'";"Ahvenanmaa"
"'297'";"Kuopio";"'13'";"Pohjois-Savon hyvinvointialue"
"'300'";"Kuortane";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'301'";"Kurikka";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'304'";"Kustavi";"'05'";"Varsinais-Suomen hyvinvointialue"
"'305'";"Kuusamo";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'312'";"Kyyjärvi";"'15'";"Keski-Suomen hyvinvointialue"
"'316'";"Kärkölä";"'09'";"Päijät-Hämeen hyvinvointialue"
"'317'";"Kärsämäki";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'318'";"Kökar";"'91'";"Ahvenanmaa"
"'398'";"Lahti";"'09'";"Päijät-Hämeen hyvinvointialue"
"'399'";"Laihia";"'17'";"Pohjanmaan hyvinvointialue"
"'400'";"Laitila";"'05'";"Varsinais-Suomen hyvinvointialue"
"'407'";"Lapinjärvi";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'402'";"Lapinlahti";"'13'";"Pohjois-Savon hyvinvointialue"
"'403'";"Lappajärvi";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'405'";"Lappeenranta";"'11'";"Etelä-Karjalan hyvinvointialue"
"'408'";"Lapua";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'410'";"Laukaa";"'15'";"Keski-Suomen hyvinvointialue"
"'416'";"Lemi";"'11'";"Etelä-Karjalan hyvinvointialue"
"'417'";"Lemland";"'91'";"Ahvenanmaa"
"'418'";"Lempäälä";"'08'";"Pirkanmaan hyvinvointialue"
"'420'";"Leppävirta";"'13'";"Pohjois-Savon hyvinvointialue"
"'421'";"Lestijärvi";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'422'";"Lieksa";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'423'";"Lieto";"'05'";"Varsinais-Suomen hyvinvointialue"
"'425'";"Liminka";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'426'";"Liperi";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'444'";"Lohja";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'430'";"Loimaa";"'05'";"Varsinais-Suomen hyvinvointialue"
"'433'";"Loppi";"'07'";"Kanta-Hämeen hyvinvointialue"
"'434'";"Loviisa";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'435'";"Luhanka";"'15'";"Keski-Suomen hyvinvointialue"
"'436'";"Lumijoki";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'438'";"Lumparland";"'91'";"Ahvenanmaa"
"'440'";"Luoto";"'17'";"Pohjanmaan hyvinvointialue"
"'441'";"Luumäki";"'11'";"Etelä-Karjalan hyvinvointialue"
"'475'";"Maalahti";"'17'";"Pohjanmaan hyvinvointialue"
"'478'";"Maarianhamina - Mariehamn";"'91'";"Ahvenanmaa"
"'480'";"Marttila";"'05'";"Varsinais-Suomen hyvinvointialue"
"'481'";"Masku";"'05'";"Varsinais-Suomen hyvinvointialue"
"'483'";"Merijärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
