

Windows-1252;;kunta_1_20220101#sairaanhoitop_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'260'";"Kitee";"'12'";"Pohjois-Karjalan SHP"
"'261'";"Kittilä";"'21'";"Lapin SHP"
"'263'";"Kiuruvesi";"'13'";"Pohjois-Savon SHP"
"'265'";"Kivijärvi";"'14'";"Keski-Suomen SHP"
"'271'";"Kokemäki";"'04'";"Satakunnan SHP"
"'272'";"Kokkola";"'17'";"Keski-Pohjanmaan SHP"
"'273'";"Kolari";"'21'";"Lapin SHP"
"'275'";"Konnevesi";"'14'";"Keski-Suomen SHP"
"'276'";"Kontiolahti";"'12'";"Pohjois-Karjalan SHP"
"'280'";"Korsnäs";"'16'";"Vaasan SHP"
"'284'";"Koski Tl";"'03'";"Varsinais-Suomen SHP"
"'285'";"Kotka";"'08'";"Kymenlaakson SHP"
"'286'";"Kouvola";"'08'";"Kymenlaakson SHP"
"'287'";"Kristiinankaupunki";"'16'";"Vaasan SHP"
"'288'";"Kruunupyy";"'17'";"Keski-Pohjanmaan SHP"
"'290'";"Kuhmo";"'19'";"Kainuun SHP"
"'291'";"Kuhmoinen";"'06'";"Pirkanmaan SHP"
"'295'";"Kumlinge";"'00'";"Ahvenanmaa"
"'297'";"Kuopio";"'13'";"Pohjois-Savon SHP"
"'300'";"Kuortane";"'15'";"Etelä-Pohjanmaan SHP"
"'301'";"Kurikka";"'15'";"Etelä-Pohjanmaan SHP"
"'304'";"Kustavi";"'03'";"Varsinais-Suomen SHP"
"'305'";"Kuusamo";"'18'";"Pohjois-Pohjanmaan SHP"
"'312'";"Kyyjärvi";"'14'";"Keski-Suomen SHP"
"'316'";"Kärkölä";"'07'";"Päijät-Hämeen SHP"
"'317'";"Kärsämäki";"'18'";"Pohjois-Pohjanmaan SHP"
"'318'";"Kökar";"'00'";"Ahvenanmaa"
"'398'";"Lahti";"'07'";"Päijät-Hämeen SHP"
"'399'";"Laihia";"'16'";"Vaasan SHP"
"'400'";"Laitila";"'03'";"Varsinais-Suomen SHP"
"'407'";"Lapinjärvi";"'25'";"Helsingin ja Uudenmaan SHP"
"'402'";"Lapinlahti";"'13'";"Pohjois-Savon SHP"
"'403'";"Lappajärvi";"'15'";"Etelä-Pohjanmaan SHP"
"'405'";"Lappeenranta";"'09'";"Etelä-Karjalan SHP"
"'408'";"Lapua";"'15'";"Etelä-Pohjanmaan SHP"
"'410'";"Laukaa";"'14'";"Keski-Suomen SHP"
"'416'";"Lemi";"'09'";"Etelä-Karjalan SHP"
"'417'";"Lemland";"'00'";"Ahvenanmaa"
"'418'";"Lempäälä";"'06'";"Pirkanmaan SHP"
"'420'";"Leppävirta";"'13'";"Pohjois-Savon SHP"
"'421'";"Lestijärvi";"'17'";"Keski-Pohjanmaan SHP"
"'422'";"Lieksa";"'12'";"Pohjois-Karjalan SHP"
"'423'";"Lieto";"'03'";"Varsinais-Suomen SHP"
"'425'";"Liminka";"'18'";"Pohjois-Pohjanmaan SHP"
"'426'";"Liperi";"'12'";"Pohjois-Karjalan SHP"
"'444'";"Lohja";"'25'";"Helsingin ja Uudenmaan SHP"
"'430'";"Loimaa";"'03'";"Varsinais-Suomen SHP"
"'433'";"Loppi";"'05'";"Kanta-Hämeen SHP"
"'434'";"Loviisa";"'25'";"Helsingin ja Uudenmaan SHP"
"'435'";"Luhanka";"'14'";"Keski-Suomen SHP"
"'436'";"Lumijoki";"'18'";"Pohjois-Pohjanmaan SHP"
"'438'";"Lumparland";"'00'";"Ahvenanmaa"
"'440'";"Luoto";"'16'";"Vaasan SHP"
"'441'";"Luumäki";"'09'";"Etelä-Karjalan SHP"
"'475'";"Maalahti";"'16'";"Vaasan SHP"
"'478'";"Maarianhamina - Mariehamn";"'00'";"Ahvenanmaa"
"'480'";"Marttila";"'03'";"Varsinais-Suomen SHP"
"'481'";"Masku";"'03'";"Varsinais-Suomen SHP"
"'483'";"Merijärvi";"'18'";"Pohjois-Pohjanmaan SHP"
"'484'";"Merikarvia";"'04'";"Satakunnan SHP"
"'489'";"Miehikkälä";"'08'";"Kymenlaakson SHP"
"'491'";"Mikkeli";"'10'";"Etelä-Savon SHP"
"'494'";"Muhos";"'18'";"Pohjois-Pohjanmaan SHP"
"'495'";"Multia";"'14'";"Keski-Suomen SHP"
"'498'";"Muonio";"'21'";"Lapin SHP"
"'499'";"Mustasaari";"'16'";"Vaasan SHP"
"'500'";"Muurame";"'14'";"Keski-Suomen SHP"
"'503'";"Mynämäki";"'03'";"Varsinais-Suomen SHP"
"'504'";"Myrskylä";"'07'";"Päijät-Hämeen SHP"
"'505'";"Mäntsälä";"'25'";"Helsingin ja Uudenmaan SHP"
"'508'";"Mänttä-Vilppula";"'06'";"Pirkanmaan SHP"
"'507'";"Mäntyharju";"'10'";"Etelä-Savon SHP"
"'529'";"Naantali";"'03'";"Varsinais-Suomen SHP"
"'531'";"Nakkila";"'04'";"Satakunnan SHP"
"'535'";"Nivala";"'18'";"Pohjois-Pohjanmaan SHP"
"'536'";"Nokia";"'06'";"Pirkanmaan SHP"
"'538'";"Nousiainen";"'03'";"Varsinais-Suomen SHP"
"'541'";"Nurmes";"'12'";"Pohjois-Karjalan SHP"
"'543'";"Nurmijärvi";"'25'";"Helsingin ja Uudenmaan SHP"
"'545'";"Närpiö";"'16'";"Vaasan SHP"
"'560'";"Orimattila";"'07'";"Päijät-Hämeen SHP"
"'561'";"Oripää";"'03'";"Varsinais-Suomen SHP"
"'562'";"Orivesi";"'06'";"Pirkanmaan SHP"
"'563'";"Oulainen";"'18'";"Pohjois-Pohjanmaan SHP"
"'564'";"Oulu";"'18'";"Pohjois-Pohjanmaan SHP"
"'309'";"Outokumpu";"'12'";"Pohjois-Karjalan SHP"
"'576'";"Padasjoki";"'07'";"Päijät-Hämeen SHP"
"'577'";"Paimio";"'03'";"Varsinais-Suomen SHP"
"'578'";"Paltamo";"'19'";"Kainuun SHP"
"'445'";"Parainen";"'03'";"Varsinais-Suomen SHP"
"'580'";"Parikkala";"'09'";"Etelä-Karjalan SHP"
"'581'";"Parkano";"'06'";"Pirkanmaan SHP"
"'599'";"Pedersören kunta";"'16'";"Vaasan SHP"
"'583'";"Pelkosenniemi";"'21'";"Lapin SHP"
"'854'";"Pello";"'21'";"Lapin SHP"
"'584'";"Perho";"'17'";"Keski-Pohjanmaan SHP"
"'588'";"Pertunmaa";"'10'";"Etelä-Savon SHP"
"'592'";"Petäjävesi";"'14'";"Keski-Suomen SHP"
"'593'";"Pieksämäki";"'10'";"Etelä-Savon SHP"
"'595'";"Pielavesi";"'13'";"Pohjois-Savon SHP"
"'598'";"Pietarsaari";"'16'";"Vaasan SHP"
"'601'";"Pihtipudas";"'14'";"Keski-Suomen SHP"
"'604'";"Pirkkala";"'06'";"Pirkanmaan SHP"
"'607'";"Polvijärvi";"'12'";"Pohjois-Karjalan SHP"
"'608'";"Pomarkku";"'04'";"Satakunnan SHP"
"'609'";"Pori";"'04'";"Satakunnan SHP"
"'611'";"Pornainen";"'25'";"Helsingin ja Uudenmaan SHP"
"'638'";"Porvoo";"'25'";"Helsingin ja Uudenmaan SHP"
"'614'";"Posio";"'21'";"Lapin SHP"
"'615'";"Pudasjärvi";"'18'";"Pohjois-Pohjanmaan SHP"
"'616'";"Pukkila";"'07'";"Päijät-Hämeen SHP"
"'619'";"Punkalaidun";"'03'";"Varsinais-Suomen SHP"
"'620'";"Puolanka";"'19'";"Kainuun SHP"
"'623'";"Puumala";"'10'";"Etelä-Savon SHP"
"'624'";"Pyhtää";"'08'";"Kymenlaakson SHP"
"'625'";"Pyhäjoki";"'18'";"Pohjois-Pohjanmaan SHP"
"'626'";"Pyhäjärvi";"'18'";"Pohjois-Pohjanmaan SHP"
"'630'";"Pyhäntä";"'18'";"Pohjois-Pohjanmaan SHP"
"'631'";"Pyhäranta";"'03'";"Varsinais-Suomen SHP"
"'635'";"Pälkäne";"'06'";"Pirkanmaan SHP"
"'636'";"Pöytyä";"'03'";"Varsinais-Suomen SHP"
"'678'";"Raahe";"'18'";"Pohjois-Pohjanmaan SHP"
"'710'";"Raasepori";"'25'";"Helsingin ja Uudenmaan SHP"
"'680'";"Raisio";"'03'";"Varsinais-Suomen SHP"
"'681'";"Rantasalmi";"'11'";"Itä-Savon SHP"
"'683'";"Ranua";"'21'";"Lapin SHP"
"'684'";"Rauma";"'04'";"Satakunnan SHP"
"'686'";"Rautalampi";"'13'";"Pohjois-Savon SHP"
"'687'";"Rautavaara";"'13'";"Pohjois-Savon SHP"
"'689'";"Rautjärvi";"'09'";"Etelä-Karjalan SHP"
"'691'";"Reisjärvi";"'17'";"Keski-Pohjanmaan SHP"
"'694'";"Riihimäki";"'05'";"Kanta-Hämeen SHP"
"'697'";"Ristijärvi";"'19'";"Kainuun SHP"
"'698'";"Rovaniemi";"'21'";"Lapin SHP"
"'700'";"Ruokolahti";"'09'";"Etelä-Karjalan SHP"
"'702'";"Ruovesi";"'06'";"Pirkanmaan SHP"
"'704'";"Rusko";"'03'";"Varsinais-Suomen SHP"
"'707'";"Rääkkylä";"'12'";"Pohjois-Karjalan SHP"
"'729'";"Saarijärvi";"'14'";"Keski-Suomen SHP"
"'732'";"Salla";"'21'";"Lapin SHP"
"'734'";"Salo";"'03'";"Varsinais-Suomen SHP"
"'736'";"Saltvik";"'00'";"Ahvenanmaa"
"'790'";"Sastamala";"'06'";"Pirkanmaan SHP"
"'738'";"Sauvo";"'03'";"Varsinais-Suomen SHP"
"'739'";"Savitaipale";"'09'";"Etelä-Karjalan SHP"
"'740'";"Savonlinna";"'11'";"Itä-Savon SHP"
"'742'";"Savukoski";"'21'";"Lapin SHP"
"'743'";"Seinäjoki";"'15'";"Etelä-Pohjanmaan SHP"
"'746'";"Sievi";"'18'";"Pohjois-Pohjanmaan SHP"
"'747'";"Siikainen";"'04'";"Satakunnan SHP"
"'748'";"Siikajoki";"'18'";"Pohjois-Pohjanmaan SHP"
"'791'";"Siikalatva";"'18'";"Pohjois-Pohjanmaan SHP"
"'749'";"Siilinjärvi";"'13'";"Pohjois-Savon SHP"
"'751'";"Simo";"'20'";"Länsi-Pohjan SHP"
"'753'";"Sipoo";"'25'";"Helsingin ja Uudenmaan SHP"
"'755'";"Siuntio";"'25'";"Helsingin ja Uudenmaan SHP"
"'758'";"Sodankylä";"'21'";"Lapin SHP"
"'759'";"Soini";"'15'";"Etelä-Pohjanmaan SHP"
"'761'";"Somero";"'03'";"Varsinais-Suomen SHP"
"'762'";"Sonkajärvi";"'13'";"Pohjois-Savon SHP"
"'765'";"Sotkamo";"'19'";"Kainuun SHP"
